Time,Action,Price,Amount,BTC_bought, PnL
2026-06-07 01:00:00+00:00,SWING_BUY,61604.66,2037.44,0.03307,BTC Bought
2026-06-07 12:00:00+00:00,STOP LOSS,61913.31,1023.82,0.01654,5.1
2026-06-08 11:00:00+00:00,SWING_BUY,63560.44,1802.72,0.02836,BTC Bought
2026-06-08 20:00:00+00:00,STOP LOSS,63151.89,1791.13,0.02836,-11.59
2026-06-11 01:30:00+00:00,SWING_BUY,62143.92,2024.25,0.03257,BTC Bought
2026-06-11 12:00:00+00:00,STOP LOSS,62621.02,2039.79,0.03257,15.54
2026-06-11 18:00:00+00:00,SWING_BUY,63305.98,1945.13,0.03073,BTC Bought
2026-06-12 05:30:00+00:00,STOP LOSS,63269.4,1944.0,0.03073,-1.12
2026-06-13 15:00:00+00:00,SWING_BUY,64251.5,5169.48,0.08046,BTC Bought
2026-06-14 04:30:00+00:00,STOP LOSS,64310.1,5174.19,0.08046,4.71
2026-06-15 00:30:00+00:00,SWING_BUY,65588.18,2477.74,0.03778,BTC Bought
2026-06-15 13:30:00+00:00,STOP LOSS,66392.04,1254.06,0.01889,15.18
2026-06-19 14:30:00+00:00,SWING_BUY,63145.39,2596.65,0.04112,BTC Bought
2026-06-20 08:00:00+00:00,STOP LOSS,63419.97,2607.95,0.04112,11.29
2026-06-20 14:30:00+00:00,SWING_BUY,63881.96,3264.18,0.0511,BTC Bought
2026-06-20 17:30:00+00:00,STOP LOSS,63751.17,3257.49,0.0511,-6.68
2026-06-20 23:30:00+00:00,SWING_BUY,64245.31,4227.71,0.06581,BTC Bought
2026-06-21 04:30:00+00:00,STOP LOSS,64199.05,4224.67,0.06581,-3.04
2026-06-22 12:00:00+00:00,SWING_BUY,64875.34,2700.8,0.04163,BTC Bought
